ROOT: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2
DEVICE: cuda
TOKENIZER_PATH: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/tokenizer/my_trained_tokenizer.json
TOKENIZED_DIR: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/tokenized_cache
USE_AMP: False
USE_LR_SCHEDULER: True
EPOCHS: 5
BATCH_SIZE: 64
GRAD_ACCUM_STEPS: 8
EFFECTIVE_BATCH_SIZE: 512
TRAIN_CHUNK_SIZE: 500000
WARMUP_STEPS: 8000
BASE_LR: 0.0005
SHUFFLE_CHUNKS: False
CHUNK_SHUFFLE_SEED: 42
Loading tokenized dataset from disk...
Train examples: 4508785
Validation examples: 3000
Test examples: 3003
Loaded full checkpoint from: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/checkpoints/lab2_en_de_latest.pt
Restored model / optimizer / scheduler / scaler state.
Epoch to resume: 4
Resume offset within epoch: 4000000
Samples trained so far: 4000000
Current LR: 2.311077e-04
Checkpoint batch_size: 64
Checkpoint effective_batch_size: 512
Completed chunks in current epoch: 8
Smoke test loss: 3.215855360031128

========== EN→DE Epoch 4/5 ==========
Resuming from training example offset 4000000
Epoch chunk progress: completed 8/10 | remaining 2
Training chunk 1/2 (global 9/10) | 4000000:4500000 / 4508785
  chunk_loss = 2.8526 | lr = 2.280809e-04 | batch_size = 64 | effective_batch_size = 512 | optimizer_steps = 977
Training chunk 2/2 (global 10/10) | 4500000:4508785 / 4508785
Batch 0 | LR 2.280809e-04 | Loss 2.1764 | AccumStep 1/8
Batch 100 | LR 2.280445e-04 | Loss 2.3066 | AccumStep 5/8
  chunk_loss = 2.2927 | lr = 2.280263e-04 | batch_size = 64 | effective_batch_size = 512 | optimizer_steps = 18
Saved new best checkpoint to: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/checkpoints/lab2_en_de_best.pt
Saved best model .pth to: /content/drive/MyDrive/Colab Notebooks/CMPE-679-Labs/GloriaMbaka_LAB2/transformer_en_de_best.pth
[EN→DE] Epoch 4/5 | train 2.5727 | val 2.6733 | test 2.7165 | lr 2.280263e-04 | batch_size 64 | effective_batch_size 512

========== EN→DE Epoch 5/5 ==========
Epoch chunk progress: completed 0/10 | remaining 10
Training chunk 1/10 (global 1/10) | 0:500000 / 4508785
Batch 0 | LR 2.280263e-04 | Loss 2.4509 | AccumStep 1/8
Batch 100 | LR 2.279899e-04 | Loss 2.3630 | AccumStep 5/8
Batch 200 | LR 2.279504e-04 | Loss 2.1858 | AccumStep 1/8
Batch 300 | LR 2.279140e-04 | Loss 2.3633 | AccumStep 5/8
Batch 400 | LR 2.278747e-04 | Loss 2.1184 | AccumStep 1/8
Batch 500 | LR 2.278383e-04 | Loss 2.1272 | AccumStep 5/8
Batch 600 | LR 2.277990e-04 | Loss 1.9832 | AccumStep 1/8
Batch 700 | LR 2.277627e-04 | Loss 2.0902 | AccumStep 5/8
Batch 800 | LR 2.277234e-04 | Loss 2.1372 | AccumStep 1/8
Batch 900 | LR 2.276871e-04 | Loss 1.9717 | AccumStep 5/8
Batch 1000 | LR 2.276478e-04 | Loss 2.0729 | AccumStep 1/8
Batch 1100 | LR 2.276116e-04 | Loss 2.1030 | AccumStep 5/8
Batch 1200 | LR 2.275723e-04 | Loss 1.9832 | AccumStep 1/8
Batch 1300 | LR 2.275361e-04 | Loss 2.1376 | AccumStep 5/8
Batch 1400 | LR 2.274970e-04 | Loss 2.0111 | AccumStep 1/8
Batch 1500 | LR 2.274608e-04 | Loss 2.1901 | AccumStep 5/8
Batch 1600 | LR 2.274216e-04 | Loss 2.0893 | AccumStep 1/8
Batch 1700 | LR 2.273855e-04 | Loss 2.3286 | AccumStep 5/8
Batch 1800 | LR 2.273464e-04 | Loss 2.2535 | AccumStep 1/8
Batch 1900 | LR 2.273103e-04 | Loss 2.0352 | AccumStep 5/8
Batch 2000 | LR 2.272712e-04 | Loss 2.0820 | AccumStep 1/8
Batch 2100 | LR 2.272352e-04 | Loss 2.1151 | AccumStep 5/8
Batch 2200 | LR 2.271961e-04 | Loss 2.0671 | AccumStep 1/8
Batch 2300 | LR 2.271601e-04 | Loss 1.8846 | AccumStep 5/8
Batch 2400 | LR 2.271211e-04 | Loss 1.9257 | AccumStep 1/8
Batch 2500 | LR 2.270851e-04 | Loss 1.9368 | AccumStep 5/8
Batch 2600 | LR 2.270462e-04 | Loss 1.8874 | AccumStep 1/8
Batch 2700 | LR 2.270102e-04 | Loss 2.0471 | AccumStep 5/8
Batch 2800 | LR 2.269713e-04 | Loss 1.9701 | AccumStep 1/8
Batch 2900 | LR 2.269354e-04 | Loss 2.0435 | AccumStep 5/8
Batch 3000 | LR 2.268965e-04 | Loss 2.1269 | AccumStep 1/8
Batch 3100 | LR 2.268606e-04 | Loss 2.1650 | AccumStep 5/8
Batch 3200 | LR 2.268218e-04 | Loss 1.9861 | AccumStep 1/8
Batch 3300 | LR 2.267859e-04 | Loss 1.8962 | AccumStep 5/8
Batch 3400 | LR 2.267471e-04 | Loss 1.8517 | AccumStep 1/8
Batch 3500 | LR 2.267113e-04 | Loss 2.0264 | AccumStep 5/8
Batch 3600 | LR 2.266726e-04 | Loss 2.0864 | AccumStep 1/8
Batch 3700 | LR 2.266368e-04 | Loss 2.0300 | AccumStep 5/8
Batch 3800 | LR 2.265981e-04 | Loss 2.1769 | AccumStep 1/8
Batch 3900 | LR 2.265623e-04 | Loss 1.9379 | AccumStep 5/8
Batch 4000 | LR 2.265236e-04 | Loss 2.1935 | AccumStep 1/8
Batch 4100 | LR 2.264879e-04 | Loss 2.0670 | AccumStep 5/8
Batch 4200 | LR 2.264493e-04 | Loss 2.1674 | AccumStep 1/8
Batch 4300 | LR 2.264136e-04 | Loss 1.9759 | AccumStep 5/8
Batch 4400 | LR 2.263750e-04 | Loss 1.9862 | AccumStep 1/8
Batch 4500 | LR 2.263394e-04 | Loss 2.1148 | AccumStep 5/8
Batch 4600 | LR 2.263008e-04 | Loss 2.0258 | AccumStep 1/8
Batch 4700 | LR 2.262652e-04 | Loss 1.9559 | AccumStep 5/8
Batch 4800 | LR 2.262267e-04 | Loss 2.0982 | AccumStep 1/8
Batch 4900 | LR 2.261911e-04 | Loss 1.9694 | AccumStep 5/8
Batch 5000 | LR 2.261526e-04 | Loss 1.8172 | AccumStep 1/8
Batch 5100 | LR 2.261171e-04 | Loss 2.0477 | AccumStep 5/8
Batch 5200 | LR 2.260786e-04 | Loss 2.0076 | AccumStep 1/8
Batch 5300 | LR 2.260431e-04 | Loss 2.0598 | AccumStep 5/8
Batch 5400 | LR 2.260047e-04 | Loss 2.1572 | AccumStep 1/8
Batch 5500 | LR 2.259692e-04 | Loss 2.0570 | AccumStep 5/8
Batch 5600 | LR 2.259308e-04 | Loss 1.7569 | AccumStep 1/8
Batch 5700 | LR 2.258954e-04 | Loss 2.0481 | AccumStep 5/8
Batch 5800 | LR 2.258571e-04 | Loss 2.2114 | AccumStep 1/8
Batch 5900 | LR 2.258217e-04 | Loss 1.9612 | AccumStep 5/8
Batch 6000 | LR 2.257834e-04 | Loss 2.0903 | AccumStep 1/8
Batch 6100 | LR 2.257480e-04 | Loss 2.2384 | AccumStep 5/8
Batch 6200 | LR 2.257097e-04 | Loss 1.9291 | AccumStep 1/8
Batch 6300 | LR 2.256744e-04 | Loss 1.9825 | AccumStep 5/8
Batch 6400 | LR 2.256362e-04 | Loss 2.0912 | AccumStep 1/8
Batch 6500 | LR 2.256009e-04 | Loss 1.9686 | AccumStep 5/8
Batch 6600 | LR 2.255627e-04 | Loss 2.0894 | AccumStep 1/8
Batch 6700 | LR 2.255274e-04 | Loss 2.1994 | AccumStep 5/8
Batch 6800 | LR 2.254893e-04 | Loss 1.8401 | AccumStep 1/8
Batch 6900 | LR 2.254541e-04 | Loss 1.8735 | AccumStep 5/8
